央视,#genre#  
纬来育乐,http://61.219.170.95:18541/http/192.168.1.9:8081/hls/68/810/ch10.m3u8
纬来育乐,http://61.219.170.95:18541/http/192.168.1.9:8081/hls/68/810/ch05.m3u8
纬来育乐,http://61.219.170.95:18541/http/192.168.1.9:8081/hls/68/810/ch08.m3u8
纬来育乐,http://61.219.170.95:18541/http/192.168.1.9:8081/hls/68/810/ch06.m3u8
纬来育乐,http://61.219.170.95:18541/http/192.168.1.9:8081/hls/68/810/ch07.m3u8
纬来育乐,http://61.219.170.95:18541/http/192.168.1.9:8081/hls/68/810/ch04.m3u8
纬来综合,http://61.219.170.95:18540/.m3u8
卫视电影,http://61.219.170.95:18529/.m3u8
卫视电影,http://61.219.170.95:18529/http/192.168.1.9:8081/hls/62/804/ch07.m3u8
卫视中文,http://61.219.170.95:18522/.m3u8
卫视中文,http://61.219.170.95:18522/http/192.168.1.9:8081/hls/62/804/ch05.m3u8
亚洲旅游,http://61.219.170.95:18568/.m3u8
亚洲旅游,http://61.219.170.95:18568/http/192.168.1.9:8081/hls/76/818/ch61.m3u8
中天娱乐,http://61.219.170.95:18521/.m3u8
MUCH TV,http://61.219.170.95:18558/http/192.168.1.9:8081/hls/72/814/ch45.m3u8
龙华偶像剧,http://61.219.170.95:18573/http/192.168.1.9:8066/hls/210/10012/cstv12.m3u8
厦门卫视,http://61.219.170.95:18531/http/192.168.1.9:8078/hls/42/80/xmtv.m3u8
Animax,http://61.219.170.95:18550/.m3u8
Animax,http://61.219.170.95:18550/http/192.168.1.9:8081/hls/70/812/ch39.m3u8
AXN,http://61.219.170.95:18548/http/192.168.1.9:8081/hls/71/813/ch43.m3u8
AXN,http://61.219.170.95:18548/.m3u8
CNBC,http://61.219.170.95:18551/.m3u8
MOMO 综合,http://61.219.170.95:18576/http/192.168.1.9:8081/hls/76/818/momo_max.m3u8
MOMO综合,http://61.219.170.95:18576/.m3u8
NHK世界,http://61.219.170.95:18525/http/192.168.1.9:8081/hls/62/804/ch06.m3u8
Star World,http://61.219.170.95:18504/.m3u8
Star World,http://61.219.170.95:18504/http/192.168.1.9:8081/hls/61/803/ch02.m3u8
八大第一,http://61.219.170.95:18539/.m3u8
八大第一,http://61.219.170.95:18539/http/192.168.1.9:8081/hls/66/808/ch22.m3u8
八大综合,http://61.219.170.95:18517/.m3u8
大爱,http://61.219.170.95:18567/.m3u8
大爱,http://61.219.170.95:18567/http/192.168.1.9:8081/hls/73/815/ch52.m3u8
东风37,http://61.219.170.95:18560/.m3u8
东风卫视,http://61.219.170.95:18560/http/192.168.1.9:8081/hls/68/810/ch31.m3u8
东森超视,http://61.219.170.95:18555/.m3u8
非凡商业,http://61.219.170.95:18510/.m3u8
凤凰中文,http://61.219.170.95:18566/http/192.168.1.9:8078/hls/21/80/phoenixch.m3u8
凤凰中文,http://61.219.170.95:18566/.m3u8
凤凰资讯,http://61.219.170.95:18565/http/192.168.1.9:8078/hls/20/80/phoenixif.m3u8
凤凰资讯,http://61.219.170.95:18565/.m3u8
海峡卫视,http://61.219.170.95:18533/.m3u8
海峡卫视,http://61.219.170.95:18533/http/192.168.1.9:8077/hls/42/80/fjttv.m3u8
湖南卫视,http://61.219.170.95:18536/http/192.168.1.9:8078/hls/41/80/huana.m3u8
龙华电影,http://61.219.170.95:18574/.m3u8
龙华电影,http://61.219.170.95:18574/http/192.168.1.9:8066/hls/210/10014/cstv14.m3u8
龙华卡通,http://61.219.170.95:18600/.m3u8
龙华偶像,http://61.219.170.95:18573/.m3u8
龙华戏剧,http://61.219.170.95:18507/.m3u8
年代MUCH,http://61.219.170.95:18558/.m3u8
人间卫视,http://61.219.170.95:18561/http/192.168.1.9:8081/hls/69/811/ch36.m3u8
人间卫视,http://61.219.170.95:18561/.m3u8
日本体育,http://61.219.170.95:18525/.m3u8
台视,http://61.219.170.95:18543/.m3u8
台视,http://61.219.170.95:18543/http/192.168.1.9:8081/hls/72/814/ch46.m3u8
纬来日本,http://61.219.170.95:18524/.m3u8
纬来戏剧,http://61.219.170.95:18557/http/192.168.1.9:8081/hls/69/811/ch33.m3u8
纬来戏剧,http://61.219.170.95:18557/.m3u8
纬来育乐,http://61.219.170.95:18541/http/192.168.1.9:8081/hls/68/810/ch30.m3u8
纬来育乐,http://61.219.170.95:18541/.m3u8
纬来综合,http://61.219.170.95:18540/.m3u8
卫视电影,http://61.219.170.95:18529/http/192.168.1.9:8081/hls/62/804/ch07.m3u8
卫视电影,http://61.219.170.95:18529/.m3u8
卫视中文,http://61.219.170.95:18522/http/192.168.1.9:8081/hls/62/804/ch05.m3u8
卫视中文,http://61.219.170.95:18522/.m3u8
亚洲旅游,http://61.219.170.95:18568/.m3u8
亚洲旅游,http://61.219.170.95:18568/http/192.168.1.9:8081/hls/76/818/ch61.m3u8
中天娱乐,http://61.219.170.95:18521/.m3u8

金母机,#genre#
鳳凰中文,mitv://fccs.word-tv.com:9906/6258281d0002e1400f06cef0fc77e330
鳳凰資訊,mitv://fccs.word-tv.com:9906/6258288b0006f4a60f087dab170cf23e
鳳凰香港,mitv://fccs.word-tv.com:9906/62582991000071710f0c7b707491d2e9
BBC World News,mitv://fccs.word-tv.com:9906/6257e7ef0003fddd0e0c1b89963d6947
CNN Internationa,mitv://fccs.word-tv.com:9906/62582a520008e9c70f0f6f8479cb96d1
民視 HD,mitv://fccs.word-tv.com:9906/62582da100098ec20f1c5c4698b437cf
人間衛視 ,mitv://fccs.word-tv.com:9906/62582fff0009dab60f259b89f7464d63
台視HD,mitv://fccs.word-tv.com:9906/6257e8850006de950e0e6636ac2abe87
大愛 ,mitv://fccs.word-tv.com:9906/6257e958000647f20e119e47becddbf1
中視HD ,mitv://fccs.word-tv.com:9906/6257e968000a66d90e11ddd52825327a
霹靂台灣台 ,mitv://fccs.word-tv.com:9906/625835a900047b550f3bba39e271ea6f
華視HD,mitv://fccs.word-tv.com:9906/6257e98b000307180e1264aad3095adb
公視,mitv://fccs.word-tv.com:9906/6257e9950008c4a20e128d3209b54839
公視台語台,mitv://fccs.word-tv.com:9906/6257e9a400000c300e12c58f9b595b1e
好消息,mitv://fccs.word-tv.com:9906/62584be3000a4ec30f928e473488ad44
原民台 ,mitv://fccs.word-tv.com:9906/6257e9ca0002ec200e135abbe97ac8ab
客家電視台 ,mitv://fccs.word-tv.com:9906/6257e9d70000ce760e138cf889fb92c2
國家地理國際頻道,mitv://fccs.word-tv.com:9906/62541d810002b7c00981a33911a2eb57
探索頻道,mitv://fccs.word-tv.com:9906/62541db9000483b809827e6fdf85c22c
TLC旅遊 ,mitv://fccs.word-tv.com:9906/62584cd60007230e0f9642af98aa2879
動物星球,mitv://fccs.word-tv.com:9906/62541d9c0009282c09820e57f2a59d11
Boomerang,mitv://fccs.word-tv.com:9906/62584d670009313f0f98799e2354015b
CN卡通 ,mitv://fccs.word-tv.com:9906/62584e2d00015cde0f9b7d0de69c85e4
MOMO親子台 ,mitv://fccs.word-tv.com:9906/62584e6b000b41810f9c71c51bf958ec
東森幼幼台,mitv://fccs.word-tv.com:9906/62584f92000033490fa0ef49c819efa3
緯來綜合 ,mitv://fccs.word-tv.com:9906/62584fd10006d72b0fa1e71495ef5024
八大第一 ,mitv://fccs.word-tv.com:9906/6258517d000953940fa86f978caa56ae
八大綜合 ,mitv://fccs.word-tv.com:9906/625851bd000e8a2d0fa96aec6397d1ea
三立台湾,mitv://fccs.word-tv.com:9906/625851fa000d44170faa58e136d727dc
